rise_time,max_alt_time,set_time,max_altitude,duration_minutes,brightness,pass_id,observation_time,weather,successful,notes,actual_altitude
2025-11-05 01:46:25.228507+00:00,2025-11-05 01:47:47.954511+00:00,2025-11-05 01:49:11.208093+00:00,12.09,2.8,-0.29,1,2025-11-02 01:50:15,Clear,True,Excellent visibility; stable tracking.,69.1
2025-11-05 03:20:49.268877+00:00,2025-11-05 03:24:08.252428+00:00,2025-11-05 03:27:28.786806+00:00,70.72,6.7,-0.91,2,2025-11-02 03:24:10,Partly Cloudy,True,Minor interference due to low clouds.,20.1
2025-11-05 04:59:09.361759+00:00,2025-11-05 05:01:22.968839+00:00,2025-11-05 05:03:37.135160+00:00,16.43,4.5,-0.34,3,2025-11-02 05:29:30,Overcast,False,Signal lost briefly; partial data recovered.,10.9
2025-11-05 06:38:02.441748+00:00,2025-11-05 06:39:14.103801+00:00,2025-11-05 06:40:25.927954+00:00,11.43,2.4,-0.28,4,,,,,
2025-11-05 08:14:15.732904+00:00,2025-11-05 08:16:58.122568+00:00,2025-11-05 08:19:40.514123+00:00,21.99,5.4,-0.41,5,,,,,
2025-11-05 09:50:38.564663+00:00,2025-11-05 09:53:57.559963+00:00,2025-11-05 09:57:16.094674+00:00,59.75,6.6,-0.83,6,,,,,
2025-11-06 02:32:42.093952+00:00,2025-11-06 02:35:59.606741+00:00,2025-11-06 02:39:18.535495+00:00,64.95,6.6,-0.87,7,,,,,
2025-11-06 04:10:22.980649+00:00,2025-11-06 04:13:00.718518+00:00,2025-11-06 04:15:39.223673+00:00,21.02,5.3,-0.4,8,,,,,
2025-11-06 05:49:36.040413+00:00,2025-11-06 05:50:45.783749+00:00,2025-11-06 05:51:55.788760+00:00,11.35,2.3,-0.28,9,,,,,
2025-11-06 07:26:17.892549+00:00,2025-11-06 07:28:36.081580+00:00,2025-11-06 07:30:54.380085+00:00,17.01,4.6,-0.35,10,,,,,
2025-11-06 09:02:27.205170+00:00,2025-11-06 09:05:48.914356+00:00,2025-11-06 09:09:10.033120+00:00,76.51,6.7,-0.92,11,,,,,
2025-11-06 10:41:00.600977+00:00,2025-11-06 10:42:07.747063+00:00,2025-11-06 10:43:14.726784+00:00,11.29,2.2,-0.28,12,,,,,
2025-11-07 01:44:49.646446+00:00,2025-11-07 01:47:53.263394+00:00,2025-11-07 01:50:58.188442+00:00,34.94,6.1,-0.58,13,,,,,
2025-11-07 03:21:42.460461+00:00,2025-11-07 03:24:40.351953+00:00,2025-11-07 03:27:39.159070+00:00,28.86,5.9,-0.5,14,,,,,
2025-11-07 05:00:51.314937+00:00,2025-11-07 05:02:16.835817+00:00,2025-11-07 05:03:42.304595+00:00,12.11,2.8,-0.29,15,,,,,
2025-11-07 06:38:18.419613+00:00,2025-11-07 06:40:10.273080+00:00,2025-11-07 06:42:02.130812+00:00,13.96,3.7,-0.31,16,,,,,
2025-11-07 08:14:20.618252+00:00,2025-11-07 08:17:35.245400+00:00,2025-11-07 08:20:49.557925+00:00,44.77,6.5,-0.69,17,,,,,
2025-11-07 09:51:36.538439+00:00,2025-11-07 09:54:07.892033+00:00,2025-11-07 09:56:39.162748+00:00,19.8,5.0,-0.39,18,,,,,
2025-11-08 00:57:18.853621+00:00,2025-11-08 00:59:49.431601+00:00,2025-11-08 01:02:20.735870+00:00,19.99,5.0,-0.39,19,,,,,
2025-11-08 02:33:09.907400+00:00,2025-11-08 02:36:22.078315+00:00,2025-11-08 02:39:35.508889+00:00,43.76,6.4,-0.68,20,,,,,
2025-11-08 04:11:57.845836+00:00,2025-11-08 04:13:47.678513+00:00,2025-11-08 04:15:37.634706+00:00,13.81,3.7,-0.31,21,,,,,
2025-11-08 05:50:14.448734+00:00,2025-11-08 05:51:41.115816+00:00,2025-11-08 05:53:07.896637+00:00,12.17,2.9,-0.29,22,,,,,
2025-11-08 07:26:16.814944+00:00,2025-11-08 07:29:16.971803+00:00,2025-11-08 07:32:16.768695+00:00,29.39,6.0,-0.51,23,,,,,
